-0.434	1.144
0.343	4.942
3.578	-0.650
2.769	-1.622
-1.350	-0.613
3.035	-0.546
0.725	0.387
-0.063	0.762
0.715	0.691
-0.205	1.766
-0.124	1.551
1.490	2.062
1.409	3.515
1.417	2.730
0.671	-0.815
-1.207	-2.294
0.717	2.276
1.630	-1.596
0.489	1.094
1.035	1.050
0.727	4.150
-0.303	0.902
0.294	0.283
-0.787	1.333
0.888	1.348
-1.147	1.099
-1.069	0.139
-0.809	-0.729
-2.944	1.448
1.438	-0.899
0.325	-0.460
-0.755	2.883
1.370	0.408
-1.712	0.802
-0.102	2.273
-0.241	0.576
0.319	2.456
0.313	0.512
-0.865	2.432
-0.030	1.890
-0.165	0.699
0.628	-0.224
1.093	-0.475
1.109	0.618
-0.864	0.380
0.077	0.422
-1.214	2.391
-1.114	0.579
-0.007	2.617
1.533	0.248
-0.770	2.375
0.371	0.261
-0.226	1.250
1.117	2.373
-1.089	0.415
0.033	0.380
0.553	3.833
1.101	2.345
1.544	0.389
0.086	1.918
-1.492	0.491
-0.742	1.998
-1.062	3.002
2.350	-1.269
-0.616	2.455
0.748	3.062
-0.192	1.067
0.889	3.470
-0.765	1.220
-1.402	-0.750
-1.422	-2.102
0.488	0.528
-0.177	2.009
-0.196	1.449
1.419	1.585
0.292	0.184
0.198	1.204
1.588	-1.317
-0.804	-0.075
0.697	-0.158
0.835	1.735
-0.244	0.980
0.216	-0.634
-1.166	0.987
-1.148	0.024
0.105	0.057
0.722	2.222
2.585	1.160
-0.667	1.563
0.187	2.250
-0.082	1.255
-1.933	1.779
-0.439	1.966
-1.795	2.655
0.840	1.673
-0.888	2.997
0.100	1.032
-0.545	0.932
0.304	3.406
-0.600	0.279
0.490	0.996
0.739	2.301
1.712	1.212
-0.194	2.987
-2.138	2.462
-0.840	1.412
1.355	-0.100
-1.072	1.801
0.961	-0.955
0.124	1.346
1.437	2.143
-1.961	1.301
-0.198	2.244
-1.208	3.883
2.908	2.307
0.825	1.377
1.379	1.907
-1.058	1.602
-0.469	-0.859
-0.272	0.411
1.098	2.732
-0.278	0.938
0.702	1.824
-2.052	-0.423
-0.354	1.091
-0.824	1.849
-1.577	-0.925
0.508	1.492
0.282	0.743
0.033	-0.329
-1.334	0.947
1.127	-1.682
0.350	-2.009
-0.299	-0.664
0.023	-0.401
-0.262	-0.659
-1.750	-1.440
-0.286	1.408
-0.831	-1.255
-0.979	1.156
-1.156	2.113
-0.534	0.997
-2.003	1.132
0.964	0.465
0.520	-1.097
-0.020	0.938
-0.035	2.359
-0.798	3.458
1.019	0.392
-0.133	-1.301
-0.715	1.235
1.351	1.532
-0.225	0.679
-0.589	-0.625
-0.294	3.863
-0.848	-2.337
-1.120	0.279
2.526	-0.869
1.655	0.100
0.308	1.450
-1.257	1.195
-0.865	-0.005
-0.177	2.099
0.791	1.880
-1.332	1.916
-2.330	0.398
-1.449	2.483
0.334	1.934
0.391	4.548
0.452	2.504
-0.130	2.636
0.184	1.075
-0.476	-0.822
0.862	0.475
-1.362	-0.072
0.455	0.202
-0.849	1.785
-0.335	0.213
0.553	-0.266
1.039	0.421
-1.118	0.772
1.261	1.579
0.660	-0.347
-0.068	1.449
-0.195	1.110
-0.218	2.873
-0.303	0.699
0.023	0.810
0.051	-0.657
0.826	-0.959
1.527	1.439
0.467	0.647
-0.210	1.712
0.625	-0.262
0.183	3.699
-1.030	1.173
0.949	2.481
0.307	0.679
0.135	0.770
0.515	1.976
0.261	1.786
-0.941	-0.584
-0.162	-1.168
-0.146	-0.553
-0.532	-1.002
1.682	1.084
-0.876	0.418
-0.484	0.480
-0.712	-0.925
-1.174	2.102
-0.192	1.621
-0.274	0.873
1.530	2.444
-0.249	-0.236
-1.064	1.586
1.603	1.493
1.235	1.494
-0.230	-0.031
-1.506	1.462
-0.445	0.272
-0.156	-0.268
0.276	-0.702
-0.261	2.468
0.443	-0.196
0.392	0.755
-1.251	-0.709
-0.948	0.580
-0.741	-3.571
-0.508	-0.537
-0.321	-1.017
0.012	-0.435
-3.029	0.698
-0.457	0.540
1.242	3.750
-1.067	0.191
0.934	0.646
0.350	-1.219
-0.029	0.325
0.182	-0.892
-1.565	1.043
-0.085	2.206
1.604	1.572
0.098	0.009
0.041	-1.306
-0.734	3.065
-0.031	3.899
0.232	1.170
0.426	-0.400
-0.373	2.694
-0.236	0.162
2.024	0.336
-2.258	2.254
2.229	-0.959
0.338	-1.767
1.000	1.595
-1.664	1.567
-0.590	1.135
-0.278	1.702
0.423	2.531
-1.670	2.372
0.472	0.196
-1.213	2.145
0.066	1.245
0.652	0.285
0.327	-0.688
1.083	1.915
1.006	0.500
-0.651	1.066
0.257	-0.121
-0.944	-1.193
-1.322	1.243
0.925	0.912
0.000	2.696
-0.055	2.134
0.911	2.490
0.595	-0.059
0.350	-0.324
1.250	-0.795
0.930	1.704
0.240	4.944
-0.690	2.029
-0.652	-0.093
1.192	2.183
-1.612	-0.596
-0.024	-1.015
-1.949	2.015
1.020	-0.100
0.862	1.447
0.001	2.989
-0.071	1.567
-2.486	2.315
0.581	-1.271
-2.192	1.936
-2.319	4.024
0.080	1.765
-0.948	-1.179
0.411	0.713
0.677	0.293
0.858	1.542
-0.691	1.583
0.449	1.573
0.101	0.486
0.826	0.153
0.536	0.166
0.898	2.207
-0.132	-1.621
-0.147	0.707
1.008	1.382
-2.124	0.077
-0.505	1.675
-1.271	0.899
-0.383	-0.327
0.649	1.228
0.826	0.621
-1.015	0.420
-0.471	-0.006
0.137	1.087
-0.292	-1.611
0.302	0.437
0.400	0.231
-0.930	-0.290
-0.177	1.923
-2.132	-0.038
1.145	1.765
-0.629	2.380
-1.204	0.778
-0.254	1.393
-1.429	1.904
-0.021	0.885
-0.561	1.765
2.178	-0.786
1.138	2.570
-2.497	-0.399
0.441	-1.586
-1.398	2.958
-0.255	0.911
0.164	1.635
0.748	0.486
-0.273	-0.443
1.576	-3.346
-0.481	1.886
0.328	0.595
0.665	0.721
0.085	1.574
0.881	-1.007
0.323	-0.032
-0.784	2.623
-1.805	1.846
1.859	-0.812
-0.605	-2.116
0.103	0.192
0.563	1.303
0.114	2.333
-0.905	1.133
-0.468	-0.587
-0.125	1.433
1.479	-0.658
-0.861	-0.359
0.785	0.075
0.309	-0.739
-0.234	0.617
-1.057	-0.273
-0.284	0.596
-0.087	0.346
-1.469	0.420
0.192	0.288
-0.822	2.744
-0.094	1.863
0.336	1.084
-0.905	-1.075
-0.288	-1.299
0.350	-1.779
